time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-15T09:07:23.060Z,17.9926,-67.0235,5,3.03,md,18,124,0.0311,0.39,pr,pr2021046006,2021-02-15T11:13:52.263Z,"3 km NE of La Parguera, Puerto Rico",earthquake,0.81,0.42,0.08,7,reviewed,pr,pr
2021-02-15T08:33:48.580Z,35.9596667,-117.3521667,0.86,0.97,ml,14,141,0.08846,0.16,ci,ci39552423,2021-02-15T08:37:33.476Z,"22km N of Trona, CA",earthquake,0.82,0.81,0.115,11,automatic,ci,ci
2021-02-15T08:23:15.890Z,28.2124,104.9006,26.9,4.5,mb,,35,4.51,0.86,us,us6000dhrr,2021-02-15T10:52:30.040Z,"32 km SE of Xunchang, China",earthquake,7.5,5.5,0.07,61,reviewed,us,us
2021-02-15T08:10:38.580Z,34.157,-116.7256667,8.76,1.16,ml,32,80,0.1346,0.2,ci,ci39552415,2021-02-15T08:14:26.487Z,"16km SE of Big Bear City, CA",earthquake,0.32,0.76,0.169,28,automatic,ci,ci
2021-02-15T07:54:57.940Z,17.9673,-66.9383,9,1.52,md,5,229,0.1059,0.06,pr,pr2021046005,2021-02-15T08:22:11.669Z,"3 km W of Guánica, Puerto Rico",earthquake,0.74,1.5,0.07,4,reviewed,pr,pr
2021-02-15T07:40:06.110Z,33.9311667,-116.624,13.07,1.36,ml,47,46,0.03859,0.24,ci,ci39552407,2021-02-15T07:51:03.770Z,"8km WNW of Garnet, CA",earthquake,0.26,0.69,0.143,27,automatic,ci,ci
2021-02-15T07:26:21.610Z,35.6991667,-117.535,2.54,0.72,ml,13,136,0.1269,0.2,ci,ci39552399,2021-02-15T07:29:56.330Z,"14km WSW of Searles Valley, CA",earthquake,0.52,0.73,0.095,7,automatic,ci,ci
2021-02-15T07:08:07.556Z,-23.7566,179.4439,547.99,4.5,mb,,106,6.121,0.59,us,us6000dhrl,2021-02-15T07:44:30.040Z,"south of the Fiji Islands",earthquake,12.2,11.2,0.128,18,reviewed,us,us
2021-02-15T07:07:47.950Z,38.0325,-118.7765,0.2,1,ml,8,123.48,0.306,0.14,nn,nn00800440,2021-02-15T07:11:59.702Z,"31 km ENE of Lee Vining, California",earthquake,,11.2,,,automatic,nn,nn
2021-02-15T06:55:55.640Z,19.2111663818359,-155.440826416016,34.5499992370605,2.05999994,md,50,125,,0.0900000036,hv,hv72351967,2021-02-15T07:01:26.550Z,"4 km ENE of Pāhala, Hawaii",earthquake,0.49,0.779999971,1.04999995,31,automatic,hv,hv
2021-02-15T06:50:55.440Z,38.8330002,-122.8003311,2.13,0.79,md,21,49,0.009487,0.02,nc,nc73523416,2021-02-15T07:08:04.799Z,"7km W of Cobb, CA",earthquake,0.22,0.46,0.08,3,automatic,nc,nc
2021-02-15T06:40:55.900Z,19.2064990997314,-155.445999145508,33.8800010681152,2.1400001,md,48,122,,0.109999999,hv,hv72351952,2021-02-15T06:44:00.920Z,"3 km E of Pāhala, Hawaii",earthquake,0.43,0.620000005,1.59000003,14,automatic,hv,hv
2021-02-15T06:37:29.388Z,60.1758,-151.2184,46.2,3.6,ml,,,,0.71,ak,ak021246ik2y,2021-02-15T09:12:05.843Z,"11 km ESE of Clam Gulch, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2021-02-15T06:35:11.240Z,38.8279991,-122.8036652,1.89,0.88,md,22,51,0.006797,0.03,nc,nc73523411,2021-02-15T08:58:05.393Z,"7km NW of The Geysers, CA",earthquake,0.22,0.42,0.05,4,automatic,nc,nc
2021-02-15T06:32:55.310Z,17.969,-66.7866,18,1.91,md,12,186,0.1949,0.16,pr,pr2021046004,2021-02-15T08:42:57.236Z,"4 km SE of Indios, Puerto Rico",earthquake,0.81,0.53,0.18,10,reviewed,pr,pr
2021-02-15T06:32:21.450Z,36.1606667,-118.182,2.01,1.34,ml,13,101,0.2683,0.11,ci,ci39552391,2021-02-15T06:35:56.982Z,"21km SW of Olancha, CA",earthquake,0.22,0.91,0.176,15,automatic,ci,ci
2021-02-15T06:30:09.000Z,33.262,-116.136,3.66,1.99,ml,71,19,0.1093,0.24,ci,ci39552383,2021-02-15T06:40:48.570Z,"13km N of Ocotillo Wells, CA",earthquake,0.22,1.28,0.162,26,automatic,ci,ci
2021-02-15T06:28:50.671Z,63.1601,-150.5821,116.1,2.1,ml,,,,0.38,ak,ak021246goac,2021-02-15T06:44:23.222Z,"71 km SE of Denali National Park, Alaska",earthquake,,0.7,,,automatic,ak,ak
2021-02-15T06:17:43.659Z,62.5868,-150.7448,70.6,1.7,ml,,,,0.77,ak,ak021246eatq,2021-02-15T06:25:00.350Z,"10 km N of Petersville, Alaska",earthquake,,1,,,automatic,ak,ak
2021-02-15T06:14:16.920Z,36.1573333,-118.1783333,3.12,2.04,ml,21,67,0.2648,0.11,ci,ci39552375,2021-02-15T06:18:09.873Z,"21km SW of Olancha, CA",earthquake,0.2,1.64,0.182,26,automatic,ci,ci
2021-02-15T06:14:11.040Z,33.1628333,-115.631,4.38,1.75,ml,31,30,0.01947,0.22,ci,ci39552367,2021-02-15T06:24:42.170Z,"12km WNW of Calipatria, CA",earthquake,0.31,0.51,0.179,27,automatic,ci,ci
2021-02-15T06:06:14.620Z,19.4878330230713,-155.579498291016,-1.53999996185303,2.75,ml,48,51,,0.349999994,hv,hv72351922,2021-02-15T08:17:02.435Z,"30 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.38,0.560000002,3.12,30,automatic,hv,hv
2021-02-15T06:00:53.640Z,33.2408333,-116.648,9.91,0.63,ml,21,132,0.04158,0.16,ci,ci39552359,2021-02-15T06:04:39.895Z,"5km SSW of Warner Springs, CA",earthquake,0.38,0.6,0.16,9,automatic,ci,ci
2021-02-15T06:00:19.070Z,37.2243,-117.1403,19.4,1.2,ml,10,297.13,0.434,0.22,nn,nn00800434,2021-02-15T06:09:10.242Z,"48 km NW of Beatty, Nevada",earthquake,,4.4,,,automatic,nn,nn
2021-02-15T05:52:39.335Z,59.8199,-153.0005,93,1.4,ml,,,,0.42,ak,ak0212460d0d,2021-02-15T05:55:57.158Z,"62 km E of Pedro Bay, Alaska",earthquake,,1,,,automatic,ak,ak
2021-02-15T05:51:51.640Z,38.8283348,-122.8024979,1.96,0.41,md,12,105,0.007704,0.01,nc,nc73523396,2021-02-15T06:34:05.619Z,"7km W of Cobb, CA",earthquake,0.34,0.53,0.16,2,automatic,nc,nc
2021-02-15T05:47:45.260Z,38.7993317,-122.7350006,0.46,0.97,md,9,105,0.01613,0.04,nc,nc73523391,2021-02-15T06:22:05.556Z,"3km SSW of Cobb, CA",earthquake,0.25,0.9,0.07,2,automatic,nc,nc
2021-02-15T05:42:46.320Z,33.9961667,-117.1816667,12.78,0.79,ml,16,49,0.1053,0.26,ci,ci39552351,2021-02-15T05:46:33.167Z,"7km S of Redlands, CA",earthquake,0.54,1.54,0.149,16,automatic,ci,ci
2021-02-15T05:33:05.080Z,38.7876663,-122.7678299,1.73,0.96,md,18,79,0.01441,0.03,nc,nc73523381,2021-02-15T08:15:07.161Z,"2km NW of The Geysers, CA",earthquake,0.26,0.46,0.08,4,automatic,nc,nc
2021-02-15T05:32:12.900Z,36.1588333,-118.1825,3.68,1.26,ml,15,68,0.2684,0.2,ci,ci39552343,2021-02-15T05:35:42.581Z,"21km SW of Olancha, CA",earthquake,0.37,2.78,0.125,13,automatic,ci,ci
2021-02-15T05:08:20.130Z,35.8566667,-117.6825,7.39,1.09,ml,14,83,0.08023,0.11,ci,ci39552327,2021-02-15T05:12:02.431Z,"22km ESE of Little Lake, CA",earthquake,0.22,0.62,0.183,13,automatic,ci,ci
2021-02-15T05:05:39.724Z,60.1553,-152.7324,93.2,1.8,ml,,,,0.47,ak,ak021245qadw,2021-02-15T05:08:42.334Z,"60 km W of Ninilchik, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-02-15T05:04:43.870Z,19.3250007629395,-155.214492797852,2.72000002861023,1.96,ml,43,78,,0.200000003,hv,hv72351867,2021-02-15T05:10:14.800Z,"13 km S of Volcano, Hawaii",earthquake,0.31,0.819999993,0.22,8,automatic,hv,hv
2021-02-15T04:57:13.580Z,0.9863,98.8159,69.07,5,mb,,130,1.279,0.48,us,us6000dhqv,2021-02-15T05:07:39.040Z,"66 km SW of Padangsidempuan, Indonesia",earthquake,6.1,7.4,0.141,16,reviewed,us,us
2021-02-15T04:56:45.610Z,35.9658333,-117.322,2.81,1.66,ml,17,123,0.08105,0.15,ci,ci39552319,2021-02-15T05:07:22.350Z,"23km NNE of Trona, CA",earthquake,0.38,1.4,0.136,21,automatic,ci,ci
2021-02-15T04:48:43.900Z,33.1593333,-115.6376667,5.81,1.18,ml,16,84,0.0269,0.23,ci,ci39552311,2021-02-15T04:52:24.323Z,"12km WNW of Calipatria, CA",earthquake,0.47,0.64,0.247,17,automatic,ci,ci
2021-02-15T04:45:58.860Z,32.75,-115.8235,6.16,1.18,ml,15,80,0.1283,0.22,ci,ci39552303,2021-02-15T04:49:37.713Z,"16km E of Ocotillo, CA",earthquake,0.44,3.32,0.26,9,automatic,ci,ci
2021-02-15T04:45:05.210Z,38.226,-118.3263,14.8,1.8,ml,17,75.62,0.149,0.16,nn,nn00800428,2021-02-15T04:57:51.423Z,"26 km SW of Mina, Nevada",earthquake,,1.4,,,automatic,nn,nn
2021-02-15T04:40:28.610Z,38.1253,-117.9078,11.6,0.5,ml,9,88.93,0.023,0.12,nn,nn00800427,2021-02-15T04:46:09.539Z,"34 km SSE of Mina, Nevada",earthquake,,7.4,,,automatic,nn,nn
2021-02-15T04:37:17.040Z,38.7978325,-122.7956696,-0.53,0.9,md,14,75,0.007634,0.03,nc,nc73523356,2021-02-15T06:31:05.602Z,"4km NW of The Geysers, CA",earthquake,0.21,0.5,0.18,4,automatic,nc,nc
2021-02-15T04:23:44.280Z,38.8409996,-122.878334,2.41,1,md,19,91,0.004865,0.02,nc,nc73523341,2021-02-15T05:11:06.146Z,"13km ENE of Cloverdale, CA",earthquake,0.27,0.45,0.1,4,automatic,nc,nc
2021-02-15T04:20:35.270Z,19.1768341064453,-155.462173461914,34.3800010681152,2.5999999,md,48,111,,0.100000001,hv,hv72351847,2021-02-15T04:26:04.570Z,"3 km SSE of Pāhala, Hawaii",earthquake,0.51,0.870000005,1.91999996,30,automatic,hv,hv
2021-02-15T04:17:22.751Z,61.5925,-150.6599,52.3,1.8,ml,,,,0.43,ak,ak0212457e2b,2021-02-15T04:21:27.553Z,"9 km NW of Susitna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-02-15T04:07:09.630Z,35.9871667,-117.2883333,5.67,1.5,ml,15,142,0.0961,0.18,ci,ci39552295,2021-02-15T04:18:08.270Z,"26km NNE of Trona, CA",earthquake,0.58,1.32,0.171,16,automatic,ci,ci
2021-02-15T03:57:44.220Z,38.1695,-117.8872,9.2,1.3,ml,11,74.02,0.026,0.16,nn,nn00800421,2021-02-15T04:08:10.055Z,"31 km SE of Mina, Nevada",earthquake,,1.9,,,automatic,nn,nn
2021-02-15T03:54:51.440Z,38.1777,-118.0682,7.2,0.4,ml,9,188.28,0.023,0.03,nn,nn00800420,2021-02-15T03:59:09.299Z,"23 km S of Mina, Nevada",earthquake,,8.6,,,automatic,nn,nn
2021-02-15T03:52:45.962Z,63.707,-146.2101,20.7,1.3,ml,,,,0.68,ak,ak021244ti9w,2021-02-15T04:05:45.881Z,"40 km SW of Fort Greely, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-02-15T03:49:52.560Z,35.9686661,-117.3278351,2.78,1.06,ml,9,145,0.08555,0.08,ci,ci39552287,2021-02-15T03:53:33.845Z,"23km NNE of Trona, CA",earthquake,0.74,3,0.264,3,automatic,ci,ci
2021-02-15T03:32:05.620Z,17.8678,-66.9006,13,2.09,md,8,247,0.1759,0.16,pr,pr2021046003,2021-02-15T05:33:11.979Z,"11 km S of Guánica, Puerto Rico",earthquake,1.16,0.73,0.13,5,reviewed,pr,pr
2021-02-15T03:07:51.128Z,61.5573,-141.3573,10.3,1.5,ml,,,,0.31,ak,ak021244jvhk,2021-02-15T03:12:29.998Z,"84 km E of McCarthy, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-02-15T03:07:30.340Z,33.1621667,-115.6378333,4.61,2.52,ml,45,30,0.02407,0.23,ci,ci39552271,2021-02-15T03:18:19.970Z,"12km WNW of Calipatria, CA",earthquake,0.29,0.67,0.272,26,automatic,ci,ci
2021-02-15T03:07:29.300Z,33.0960007,-115.6863327,0.16,1.58,ml,10,90,0.09257,0.34,ci,ci39552263,2021-02-15T03:09:49.342Z,"9km NW of Westmorland, CA",earthquake,0.89,3.31,0.606,7,automatic,ci,ci
2021-02-15T03:00:09.010Z,34.1516667,-117.4588333,6.3,1.03,ml,16,62,0.04842,0.2,ci,ci39552247,2021-02-15T03:03:54.399Z,"6km N of Fontana, CA",earthquake,0.5,1.2,0.339,25,automatic,ci,ci
2021-02-15T02:41:17.680Z,32.7221667,-115.4618333,11.48,1.21,ml,17,83,0.08388,0.22,ci,ci39552239,2021-02-15T02:44:49.976Z,"6km NE of Calexico, CA",earthquake,0.49,0.74,0.161,15,automatic,ci,ci
2021-02-15T02:35:07.180Z,38.2048,-117.9332,1.5,0.6,ml,11,108.52,0.021,0.1,nn,nn00800419,2021-02-15T03:56:49.695Z,"Nevada",earthquake,,11.9,,,automatic,nn,nn
